種類,メーカー,シリーズ,記号,シリーズ,容量（GB）,型番,価格,確認日,備考,AmazonのURL,読出速度（MB/s）,書込速度（MB/s）,スピードクラス,接続,幅（mm）,奥行き（mm）,高さ（mm）,重量（g）,保証（年）,ケーブル,品名
type,maker,series,prefix,series,storage,model,price,date,remarks,url,speed_read,speed_write,speed_class,usb,width,depth,height,weight,warranty,cable,name
SSD,Samsung,,SM,X5,1000,MU-PB1T0B/EC,59980,2020-05-07,,https://www.amazon.co.jp/dp/B07H8J1X72,2800,2300,,Thunderbolt3,62,119,20,150,3,Thunderbolt,
SSD,Samsung,,SM,X5,2000,MU-PB2T0B/EC,99980,2020-05-07,,https://www.amazon.co.jp/dp/B07H87C7HP,2800,2300,,Thunderbolt3,62,119,20,150,3,Thunderbolt,
SSD,バッファロー,,BF,PMU3A,120,SSD-PM120U3A-B,3469,2020-05-07,,https://www.amazon.co.jp/dp/B072ZLXZW8,421.6,370,,USB3.2 (gen1),49.5,80,9.5,30,1,USB-A,
SSD,バッファロー,,BF,PMU3A,240,SSD-PM240U3A-S,5200,2020-05-07,,https://www.amazon.co.jp/dp/B072ZQ1J8T,421.6,370,,USB3.2 (gen1),49.5,80,9.5,30,1,USB-A,
SSD,バッファロー,,BF,PGMU3,480,SSD-PGM480U3-B/N,7681,2020-05-07,,https://www.amazon.co.jp/dp/B07ZK95FKV,530,530,,USB3.2 (gen2),50,95,10.9,52,1,USB-C,
SSD,バッファロー,,BF,PGMU3,960,SSD-PGM960U3-B/N,12444,2020-05-07,,https://www.amazon.co.jp/dp/B07ZK99NZQ,530,530,,USB3.2 (gen2),50,95,10.9,52,1,USB-C,
SSD,バッファロー,,BF,PGMU3,1900,SSD-PGM1.9U3-B/N,24222,2020-05-07,,https://www.amazon.co.jp/dp/B07ZK98PPY,530,530,,USB3.2 (gen2),50,95,10.9,52,1,USB-C,
SSD,バッファロー,,BF,PHU3A,250,SSD-PH250U3-BA,9830,2020-05-07,,https://www.amazon.co.jp/dp/B07QR3FGJ2,1000,900,,USB3.2 (gen2),31.5,103,9.8,40,1,USB-A/USB-C,
SSD,バッファロー,,BF,PHU3A,500,SSD-PH500U3-BA,15560,2020-05-07,,https://www.amazon.co.jp/dp/B07QT8SVYK,1000,900,,USB3.2 (gen2),31.5,103,9.8,40,1,USB-A/USB-C,
SSD,バッファロー,,BF,PHU3A,1000,SSD-PH1.0U3-BA,20464,2020-05-07,,https://www.amazon.co.jp/dp/B07QPYB463,1000,900,,USB3.2 (gen2),31.5,103,9.8,40,1,USB-A/USB-C,
HDD,東芝,,TO,TPA-B,4000,HD-TPA4U3-B/N,11980,2020-05-07,,https://www.amazon.co.jp/dp/B07SJXHS8P,,,,,78,109,19.5,206,1,,
HDD,東芝,,TO,TPA-B,2000,HD-TPA2U3-B/N,7580,2020-05-07,,https://www.amazon.co.jp/dp/B07SGNVKCJ,,,,,78,109,14,150,1,,
HDD,東芝,,TO,TPA-B,1000,HD-TPA1U3-B/N,5380,2020-05-07,,https://www.amazon.co.jp/dp/B07SKSVB84,,,,,78,109,14,125,1,,
SSD,Western Digital,‎WD_BLACK P40,WD,BAWY,2000,WDBAWY0020BBK-WESN,34170,2023-01-05,特選タイムセール（-15%）,https://www.amazon.co.jp/dp/B09ZRWT134,2200,,,USB3.2 (gen2x2),50.8,106.9,13,77.1,,USB-A/USB-C,
SSD,Western Digital,WD_BLACK P40,WD,BAWY,1000,WDBAWY0010BBK-WESN,19570,2023-01-05,特選タイムセール（-15%）,https://www.amazon.co.jp/dp/B09ZRD38D8,2200,,,USB3.2 (gen2x2),50.8,106.9,13,77.1,,USB-A/USB-C,
HDD,Western Digital,WD_BLACK P10,WD,BA3A,5000,WDBA3A0050BBK-WESN,19550,2023-01-05,,https://www.amazon.co.jp/dp/B07VNTFHD5,,,,USB3.2 (gen1),88,118,20.8,231,3,,WD_Black P10
HDD,Western Digital,WD_BLACK P10,WD,BA3A,4000,WDBA3A0040BBK-WESN,18915,2023-01-05,,https://www.amazon.co.jp/dp/B07VNTFK87,,,,USB3.2 (gen1),88,118,20.8,231,3,,WD_Black P10
HDD,Western Digital,WD_BLACK P10,WD,BA3A,2000,WDBA2W0020BBK-WESN,13604,2023-01-05,,https://www.amazon.co.jp/dp/B07VMTNDMK,,,,USB3.2 (gen1),88,118,12.8,231,3,,WD_Black P10
